WKT,fid,O,D,length,walkwidth2,walkwidth,width,side,buile_MAX,build_ave,build_Min,katagawa,green_ori,bridge,tunnel,crosswalk_ori,roof,river,D/H,gradient2,gradient,maxspeed,O_altitude,D_altitude,crosswalk,pedst,green,walkratio,road,sidewalk,building,wall,fence,pole,traffic li,traffic si,vegetation,terrain,sky,unlabeled,rider,car,truck,bus,train,motorcycle,bycycle,others
"LINESTRING (139.6425132 35.4485471,139.6424593 35.448463,139.6423461 35.4483073)",15,5,241,30.671,5.0,5.0,22.5,1,,0.0,,,1,0,0,0,0,,0.0,0.003260409,-0.0033,40.0,2.9,3.0,0,0,1,0.222222222222222,0.248466667,0.043453704,0.285333333,0.006712963000000001,0.015440741000000001,0.012157407,0.001118519,0.004751852,0.158940741,0.041922222,0.012896296000000002,0.0004888890000000001,0.0,0.050975926,0.077583333,1.4800000000000002e-05,0.0,0.0,3.3299999999999996e-05,7147.666667
"LINESTRING (139.6435943 35.4480125,139.6434771 35.4480702,139.6429665 35.4483217,139.6426022 35.4485012,139.6425132 35.4485471)",16,5,20,114.56200000000001,7.0,7.0,24.5,1,,0.0,,,2,0,0,0,0,,0.0,0.00174578,-0.0017,40.0,2.9,3.1,0,0,1,0.28571428571428603,0.250654545,0.039327272999999996,0.305751515,0.00080404,0.017630808,0.027320202000000002,0.000980303,0.005253535,0.223674242,0.044317677,0.019637879,0.001452525,0.00021464599999999998,0.040028787999999996,0.002600505,0.000244444,0.0,0.001084343,0.000371212,3357.2727270000005
"LINESTRING (139.6413195 35.4491516,139.6414039 35.4491135,139.6423929 35.4486345,139.6424612 35.448601)",17,6,117,120.18700000000001,7.0,7.0,24.5,1,,0.0,,,2,0,0,0,0,,0.0,-0.00249611,0.0025,40.0,2.9,2.6,0,0,1,0.28571428571428603,0.169417593,0.036289352000000004,0.295284722,0.000425,0.033628704,0.037322222,0.000815278,0.00397963,0.157585185,0.057192593,0.046243980999999997,0.004563426,2.31e-06,0.101001389,0.003415741,0.006697221999999999,0.0,0.0,0.000141204,8279.0
"LINESTRING (139.6422735 35.4483421,139.6423961 35.4484977,139.6424612 35.448601)",18,6,242,33.471,5.0,5.0,22.5,1,,0.0,,,1,0,0,0,0,,0.0,-0.002987661,0.003,40.0,2.9,2.8,0,0,1,0.222222222222222,0.270305556,0.028475926000000002,0.394355556,0.00024629599999999996,0.002677778,0.021307407,0.001566667,0.0059222219999999996,0.018246296000000002,0.004187037,0.063751852,0.0025777779999999998,0.0,0.075285185,0.042233333,0.000585185,0.0,0.0,0.0,12289.66667
"LINESTRING (139.6416053 35.4474589,139.6416844 35.4474178)",19,7,655,8.499,5.0,5.0,25.5,1,0.0,0.0,0.0,0.0,0,0,0,1,0,,0.0,0.0,0.0,,3.4,3.4,1,0,0,0.0,0.333766667,0.038377778,0.394227778,0.0013611110000000001,0.019166667,0.028733333,0.003772222,0.010888888999999999,0.06195,0.004855556,0.041538889,0.0018,0.00037222199999999996,0.029666667,0.005777778000000001,0.0092,0.0,0.0,0.001427778,2361.0
"LINESTRING (139.6416053 35.4474589,139.6416571 35.4475308,139.6418629 35.4478035)",20,7,83,44.865,5.0,5.0,22.5,1,,0.0,,,2,0,0,0,0,,0.0,-0.008915636,0.0089,40.0,3.4,3.0,0,0,1,0.222222222222222,0.232472222,0.059924444,0.326764444,5.8899999999999995e-05,0.017898888999999998,0.045998889,0.0017711110000000001,0.009987778000000001,0.086011111,0.030895556,0.013617778,0.0070722219999999995,0.0,0.036221111,0.042587778,0.00157,0.0,0.0,1.3300000000000001e-05,15684.2
"LINESTRING (139.6415573 35.4473987,139.6416053 35.4474589)",21,7,77,7.982,4.5,4.5,22.5,1,0.0,0.0,0.0,0.0,0,0,0,1,0,,0.0,0.0,0.0,50.0,3.4,3.4,1,0,0,0.0,0.336105556,0.047411111,0.19989444399999998,0.0,0.038794444,0.070666667,0.00525,0.019066667,0.111055556,0.001477778,0.09437222199999999,0.001716667,0.0,0.038061111,0.011188888999999999,0.000411111,0.0,0.0,0.0,4415.0
"LINESTRING (139.6404997 35.4480275,139.6405642 35.4479979,139.6410853 35.4477284,139.6415173 35.4475048,139.6416053 35.4474589)",22,7,116,118.446,5.0,5.0,25.5,1,46.0,25.25,17.0,2.0,0,0,0,0,0,,1.00990099,-0.0033770659999999997,0.0034,,3.4,3.0,0,0,0,0.19607843137254896,0.241842308,0.017425641000000002,0.20015812,0.0,0.023470513,0.013932479,0.00047051300000000004,0.009713675,0.22347435899999998,0.035211538,0.064323932,0.001365812,0.0,0.09370042699999999,0.019417094,0.016738462,0.0,0.0,0.0,6975.9230769999995
"LINESTRING (139.637662 35.4424274,139.6377081 35.4425527)",23,8,90,14.545,5.5,5.5,18.0,1,0.0,0.0,0.0,0.0,0,0,0,1,0,,0.0,-0.055001719000000004,0.055,,2.4,1.6,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0009777780000000001,7.219999999999999e-05,0.0,0.0,0.001738889,0.0,0.164972222,0.0,0.0,0.8322388890000001,0.0,0.0,0.0,0.0,0.0,0.0
"LINESTRING (139.6371438 35.4420907,139.6375854 35.4423547,139.637662 35.4424274)",24,8,203,60.273999999999994,5.5,5.5,18.0,1,41.0,30.0,10.0,2.0,0,0,0,0,0,,0.6,-0.018249992,0.0182,40.0,2.4,1.3,0,0,0,0.305555555555556,0.311363889,0.04912592599999999,0.14509629599999999,0.00025833299999999997,0.00875463,0.018690741,0.001156481,0.011256481,0.188116667,0.024176852000000002,0.15335463,0.004602778,0.000110185,0.027531481,0.016975,0.001583333,0.0,2.0399999999999998e-05,0.002232407,6406.833333
"LINESTRING (139.637662 35.4424274,139.6375653 35.4425251,139.6375211 35.4425756,139.6373533 35.4427207)",25,8,661,43.02,7.0,7.0,20.0,1,,0.0,,,2,0,0,0,0,,0.0,-0.011622501,0.0116,50.0,2.4,1.9,0,0,1,0.35,0.20927222199999998,0.027486111,0.128152778,1.39e-06,0.004694444,0.026023611000000002,0.001976389,0.007245833,0.33752777799999995,0.043661110999999996,0.121019444,0.003144444,0.0,0.06083888900000001,0.0007763889999999999,9.44e-05,0.0,0.0,0.0,5055.25
"LINESTRING (139.6377868 35.4424715,139.637662 35.4424274)",26,8,91,12.323,5.7,5.7,18.0,1,0.0,0.0,0.0,0.0,0,0,0,1,0,,0.0,-0.06491925700000001,0.0649,,2.4,1.6,1,0,0,0.0,0.232538889,0.130888889,0.44842222200000004,0.0,0.001122222,0.0281,0.000683333,0.013038889,0.005522221999999999,0.0,0.060538889000000005,0.017883333,0.0,0.013194444,0.00033888900000000004,0.0,0.0,0.0,0.000311111,8535.0
"LINESTRING (139.638038 35.4420239,139.637662 35.4424274)",27,8,209,56.332,5.0,5.0,29.0,1,41.0,32.975,29.0,2.0,2,0,0,0,0,,0.879454132,-0.01242633,0.0124,40.0,2.4,1.7,0,0,1,0.172413793103448,0.34353796299999995,0.039562963,0.16800277800000002,0.0,0.003459259,0.022540741,0.00064537,0.007514815,0.199544444,0.013501852,0.12916203699999998,0.00932963,0.0,0.026815741,6.11e-05,8.89e-05,0.0,0.0,0.000583333,6416.833333
"LINESTRING (139.6397238 35.4450464,139.6396645 35.4450747,139.6387073 35.4456063,139.6386639 35.4456488)",28,9,112,117.315,5.0,5.0,15.5,1,,0.0,,,2,0,0,0,0,,0.0,0.0008524060000000001,-0.0009,,0.8,0.9,0,0,1,0.32258064516129,0.169725641,0.039605127999999996,0.347260256,0.0,0.0027277779999999997,0.013916666999999999,0.000673077,0.008912821,0.147885897,0.006521795,0.055963675,0.009140598,0.0,0.118216667,0.009385896999999999,0.004110256,0.0,0.00047094,0.0008705130000000001,11630.23077
"LINESTRING (139.6395276 35.4447903,139.6397238 35.4450464)",29,9,308,33.568000000000005,5.0,5.0,23.5,1,36.0,33.5,31.0,0.0,2,0,0,0,0,,0.701492537,-0.005958055,0.006,50.0,0.8,0.6,0,0,1,0.21276595744680799,0.338075926,0.037405556,0.211598148,0.0,0.008735185,0.014605556,0.000125926,0.007601851999999999,0.20650925899999997,0.0016314810000000002,0.060924074,0.008496296,0.0,0.034303704,0.046987037,0.0,0.0,0.0,9.26e-06,4138.333333
"LINESTRING (139.6391736 35.450178,139.6390904 35.4502188,139.638901 35.4503083)",30,10,94,28.631,7.0,7.0,24.5,1,,0.0,,,0,0,0,0,0,,0.0,-0.0034927179999999997,0.0035,40.0,2.6,2.5,0,0,0,0.28571428571428603,0.255044444,0.052990740999999994,0.33567963,1.11e-05,0.0014481479999999998,0.022825926,6.48e-05,0.004898148,0.166359259,0.020188888999999998,0.004961111,0.001866667,0.0,0.031051852,0.044653704,0.000648148,0.0,0.0,0.000155556,10287.33333
"LINESTRING (139.6353235 35.4488179,139.6350721 35.4484326)",31,11,236,48.52,4.5,4.5,12.0,1,29.0,19.5,9.0,2.0,1,0,0,0,0,,0.615384615,0.010305029,-0.0103,,1.7,2.2,0,0,1,0.375,0.094623333,0.048543333,0.429856667,0.002807778,0.008773333000000001,0.049777777999999995,0.001524444,0.01826,0.056405555999999996,0.029421111,0.011201111000000001,0.007602222,0.00011999999999999999,0.073906667,0.071077778,0.003383333,0.0,0.0,0.059724444,5938.4
"LINESTRING (139.6350721 35.4484326,139.6355303 35.4481706,139.6355665 35.4481458)",32,11,280,54.994,3.5,3.5,11.0,1,,0.0,,,0,0,0,0,0,,0.0,-0.007273521,0.0073,,1.7,1.3,0,0,0,0.31818181818181795,0.109375,0.14678333300000002,0.539621296,0.0,0.010531481,0.04042037,0.0008972219999999999,0.019277778,0.014715741000000001,0.000531481,0.037648148,0.006334259,0.0,0.054741667,0.001307407,0.0,0.0,0.0,0.0006990739999999999,3080.833333
"LINESTRING (139.6336591 35.4492264,139.6337095 35.4491983,139.6350721 35.4484326)",33,11,66,155.47799999999998,3.5,3.5,11.0,1,,0.0,,,0,0,0,0,0,,0.0,0.002572711,-0.0026,,1.7,2.1,0,0,0,0.31818181818181795,0.131886806,0.12349826400000001,0.530742361,8.82e-05,0.003203472,0.03015,0.0010736110000000001,0.017604861,0.014182291999999999,0.0019208329999999998,0.059837847,0.002437153,9.03e-06,0.057550347,0.001991319,9.03e-05,0.0,0.000103125,0.0007763889999999999,4113.6875
"LINESTRING (139.6362381 35.4482943,139.6360062 35.447893)",34,12,67,49.32,6.0,6.0,18.0,1,32.0,30.0,28.0,2.0,2,0,0,0,0,,0.6,0.018248175,-0.0182,,1.2,2.1,0,0,1,0.33333333333333304,0.097055556,0.056406667,0.251097778,0.0,0.012598888999999999,0.03228,0.002974444,0.015942222,0.23099,0.095483333,0.041608888999999996,0.010885556000000001,0.0,0.06387000000000001,0.059957777999999996,6.67e-06,0.0,0.0,0.00041222199999999996,5117.4
"LINESTRING (139.6355665 35.4481458,139.6356085 35.4481147,139.6359602 35.4479199,139.6360062 35.447893)",35,12,280,48.795,3.5,3.5,10.0,1,,0.0,,,2,0,0,0,0,,0.0,0.00204939,-0.002,,1.2,1.3,0,0,1,0.35,0.11870370400000001,0.137833333,0.522005556,0.0,0.0028027779999999997,0.043925,0.002474074,0.011426852,0.030002777999999997,0.00680463,0.006805556,0.017723148,0.0,0.045747222000000004,0.0008574069999999999,1.85e-06,0.0,0.000432407,0.00037129599999999996,9374.833333
"LINESTRING (139.638059 35.4467315,139.6390516 35.4461739,139.6390996 35.4461509)",36,13,113,114.265,3.0,3.0,10.5,1,,0.0,,,0,0,0,0,0,,0.0,-0.002625476,0.0026,,1.4,1.1,0,0,0,0.28571428571428603,0.05423425900000001,0.068981482,0.548685185,6.94e-06,0.0014106479999999998,0.029971296,0.00071713,0.013728241,0.021297222,0.000625463,0.08384907400000001,0.004421759,0.00013657399999999998,0.142362037,0.008141667,0.000324537,0.0,0.0,0.001358796,3554.583333
"LINESTRING (139.6382267 35.4469414,139.638059 35.4467315)",37,13,292,27.848000000000003,5.5,5.5,17.0,1,,0.0,,,2,0,0,0,0,,0.0,0.025136455,-0.0251,,1.4,2.1,0,0,1,0.323529411764706,0.135359259,0.031938889,0.351018519,0.0,0.021035185,0.01957963,0.0012759260000000001,0.01265,0.143740741,0.09866666699999999,0.027837037000000002,0.005309259,0.0,0.00857963,0.001346296,7.04e-05,0.0,0.0,0.000192593,25452.0
"LINESTRING (139.6347693 35.4479564,139.6345494 35.4481174)",38,14,312,26.781999999999996,4.6,4.6,13.2,1,30.0,21.0,10.0,2.0,1,0,0,0,0,,0.628571429,0.0,0.0,,0.9,0.9,0,0,1,0.348484848484848,0.039312963,0.042381481,0.41205185200000005,0.0,0.000181481,0.017701852,0.00011666700000000001,0.010883333,0.198707407,0.004740741,0.07332037,0.005842593,0.0,0.080596296,0.06154629599999999,0.0,0.0,0.0,0.0,9471.0
"LINESTRING (139.6345059 35.4477795,139.6347276 35.4479186,139.6347693 35.4479564)",39,14,297,30.999000000000002,3.5,3.5,11.7,1,,0.0,,,2,0,0,0,0,,0.0,0.006451821,-0.0065,,0.9,1.1,0,0,1,0.299145299145299,0.114847222,0.082045833,0.374922222,4.17e-06,0.016829167,0.043843056,0.0012194439999999999,0.0087875,0.196823611,0.028898611,0.002783333,0.022933332999999997,0.0,0.053290277999999996,0.0015875,0.012718056,0.0,0.0,0.0011041669999999999,6725.25
"LINESTRING (139.6352519 35.4476181,139.6347693 35.4479564)",40,14,284,57.673,5.0,5.0,12.0,1,,0.0,,,2,0,0,0,0,,0.0,-0.001733914,0.0017,,0.9,0.8,0,0,1,0.4166666666666671,0.148723148,0.06712963,0.374143519,0.0,0.010030556,0.039492593,0.001823148,0.011962963,0.175163889,0.027258333,0.010200925999999999,0.008412036999999999,0.0,0.038325,0.005276851999999999,0.003760185,0.0,0.0,0.00025648099999999997,14047.333330000001
"LINESTRING (139.635682 35.4473125,139.6355137 35.4470227)",41,15,299,35.649,6.0,6.0,18.0,1,39.0,16.25,4.0,2.0,2,0,0,0,0,,1.107692308,0.008415383,-0.0084,,0.8,1.1,0,0,1,0.33333333333333304,0.081684722,0.037179167,0.322966667,0.0,0.02915,0.038834722,0.0015166670000000002,0.017541667,0.212495833,0.0827875,0.034838889,0.0128625,0.0,0.094141667,0.0,0.0,0.0,0.000970833,0.002140278,5560.0
"LINESTRING (139.635682 35.4473125,139.6356283 35.4473506,139.6352519 35.4476181)",42,15,284,51.698,5.0,5.0,12.0,1,,0.0,,,2,0,0,0,0,,0.0,0.0,0.0,,0.8,0.8,0,0,1,0.4166666666666671,0.10731666699999999,0.07315648200000001,0.325298148,0.0,0.0073481480000000005,0.025999074,0.0024129629999999997,0.012772222,0.20624814800000002,0.003225,0.026777778,0.01450463,4.1700000000000004e-05,0.098331482,0.044540740999999995,1.4800000000000002e-05,0.0,3.52e-05,0.000108333,9336.333333
"LINESTRING (139.63662 35.4467904,139.6365135 35.4468489,139.636383 35.446916,139.6363383 35.4469197,139.6358939 35.4471714,139.6358581 35.4472142,139.6357312 35.4472789,139.635682 35.4473125)",43,15,16,103.85,5.0,5.0,12.0,1,,0.0,,,2,0,0,0,0,,0.0,0.001925855,-0.0019,,0.8,1.0,0,0,1,0.4166666666666671,0.120707576,0.11640606099999999,0.284213636,4.1899999999999995e-05,0.017861111000000002,0.022707576,0.00129697,0.011783838,0.22523030300000002,0.027873232,0.028394949,0.007174242,4.04e-06,0.078204545,0.009991414,0.00044040400000000003,0.0,1.77e-05,0.000194949,8542.0
"LINESTRING (139.6364282 35.4465236,139.6365674 35.4467229,139.63662 35.4467904)",44,16,298,34.387,8.5,8.5,24.0,1,45.0,43.0,41.0,2.0,2,0,0,0,0,,0.558139535,0.0,0.0,,1.0,1.0,0,0,1,0.3541666666666671,0.267144444,0.055595833,0.272616667,0.0,0.001194444,0.038308333,0.0013902779999999998,0.001926389,0.24295,0.034277777999999995,0.006233333000000001,0.007001389,0.0,0.039968056,0.001976389,0.006490278,0.0,0.0,3.8900000000000004e-05,4119.75
"LINESTRING (139.6376047 35.4462247,139.636727 35.4467274,139.63662 35.4467904)",45,16,17,109.149,5.0,5.0,12.0,1,45.0,29.4,12.0,2.0,2,0,0,0,0,,0.408163265,0.0,0.0,,1.0,1.0,0,0,1,0.4166666666666671,0.22618787899999998,0.052968687,0.293959596,0.017684848,0.006906061,0.016586364,0.00030555599999999996,0.004184343,0.19745,0.01374697,0.025028788,0.008781818,0.0,0.057585859,0.03154596,0.002331313,0.0,0.0,0.001210101,7836.4545450000005
"LINESTRING (139.6376047 35.4462247,139.637392 35.445988)",46,17,300,32.619,5.5,5.5,17.0,1,,0.0,,,2,0,0,0,0,,0.0,0.009197094,-0.0092,,1.0,1.3,0,0,1,0.323529411764706,0.10599444400000001,0.076501852,0.357683333,0.0,0.008946296,0.014340741,0.0014574070000000002,0.016585185,0.185961111,0.04476851900000001,0.023855556,0.005807407,0.0,0.075553704,0.0,0.0006574069999999999,0.0,0.0,0.0,14739.666669999999
"LINESTRING (139.6386639 35.4456488,139.6386077 35.4456693,139.6376047 35.4462247)",47,17,112,115.43799999999999,5.0,5.0,12.0,1,37.0,24.0,14.0,2.0,2,0,0,0,0,,0.5,-0.0008662660000000001,0.0009,,1.0,0.9,0,0,1,0.4166666666666671,0.205270833,0.054883796,0.370275,0.0,0.005371759,0.018435185,0.000759722,0.009743981,0.139602778,0.004849074,0.020242593,0.00908287,0.0,0.078680556,0.028268519,0.001593981,0.0,1.39e-06,0.001225463,9308.25
"LINESTRING (139.6365155 35.4486898,139.6362381 35.4482943)",48,18,67,50.65,6.0,6.0,18.0,1,38.0,27.0,17.0,2.0,2,0,0,0,0,,0.666666667,-0.001974334,0.002,,2.2,2.1,0,0,1,0.33333333333333304,0.161572222,0.074131111,0.35428666700000006,1.22e-05,0.012483333000000001,0.029886667000000002,0.002377778,0.01197,0.18011666699999998,0.071353333,0.029653332999999997,0.009947778000000001,0.0,0.022846667,0.001511111,0.0,0.0,3.5600000000000005e-05,0.00106,6616.0
"LINESTRING (139.6365155 35.4486898,139.6365744 35.4486587,139.637096 35.4483899)",49,18,657,62.266999999999996,4.0,4.0,13.0,1,,0.0,,,0,0,0,0,0,,0.0,0.004817961,-0.0048,,2.2,2.5,0,0,0,0.307692307692308,0.141069048,0.09563174599999999,0.443566667,0.010684127,0.000707937,0.02985,0.0009904760000000001,0.01007619,0.116220635,0.014926983999999999,0.023657937,0.004148413,0.0,0.089875397,0.000549206,0.0021214289999999998,0.0,0.0,0.0013730160000000001,2619.142857
"LINESTRING (139.6368549 35.4491284,139.636813 35.4490757,139.6365155 35.4486898)",50,18,120,57.653,6.0,6.0,18.0,1,36.0,29.0,17.0,2.0,2,0,0,0,0,,0.620689655,-0.001734515,0.0017,,2.2,2.1,0,0,1,0.33333333333333304,0.164012037,0.08957870400000001,0.35946944399999997,0.00017407400000000003,0.0008462960000000001,0.036148148,0.000993519,0.006996296,0.179332407,0.057052778,0.047893519,0.005707406999999999,0.0,0.027533332999999997,0.0,0.00069537,0.0,0.0,0.00122963,4020.666667
"LINESTRING (139.6360713 35.4489151,139.6364591 35.4487219,139.6365155 35.4486898)",51,18,285,47.409,4.0,4.0,13.0,1,,0.0,,,0,0,0,0,0,,0.0,-0.0042186079999999996,0.0042,,2.2,2.0,0,0,0,0.307692307692308,0.161684444,0.10507777800000001,0.394864444,0.001605556,0.021297778,0.032857778,0.0020366670000000003,0.012258888999999999,0.09130222199999999,0.00588,0.041371111,0.006388889,2.9999999999999997e-05,0.10118111099999999,3.11e-05,0.0,0.0,0.00047888900000000003,0.006192222,2783.0
"LINESTRING (139.6403138 35.4458063,139.6403892 35.4457792)",52,19,293,7.465,4.5,4.5,13.5,1,,0.0,,,2,0,0,1,0,,0.0,-0.013395846999999999,0.0134,,1.3,1.2,1,0,0,0.0,0.31476111100000004,0.03295,0.29649444399999997,7.219999999999999e-05,0.065705556,0.049744444000000006,0.003027778,0.0035166670000000002,0.156122222,0.020483333,0.004411111,0.006472222,0.0,0.010327778000000001,0.000383333,0.0,0.0,0.0,0.0,6395.0
